service,type,ghsa_id,cve_id,title,severity,created,due,url,Application,nonCompliant,ageDays,jira_key,jira_status
HMS,dependabot,GHSA-hfq9-hggm-c56q,CVE-2024-47072,XStream is vulnerable to a Denial of Service attack due to stack overflow from a manipulated binary input stream,high,2026-06-18,2026-07-18,https://github.com/tanishq-sh17/HMS/security/dependabot/45,Hospital-Management-System,0,0,HMS-21,CREATED
HMS,dependabot,GHSA-22wj-vf5f-wrvj,CVE-2022-45868,Password exposure in H2 Database ,high,2026-06-18,2026-07-18,https://github.com/tanishq-sh17/HMS/security/dependabot/44,Hospital-Management-System,0,0,HMS-21,CREATED
HMS,dependabot,GHSA-7rpj-hg47-cx62,CVE-2021-23463,Improper Restriction of XML External Entity Reference in com.h2database:h2.,high,2026-06-18,2026-07-18,https://github.com/tanishq-sh17/HMS/security/dependabot/43,Hospital-Management-System,0,0,HMS-21,CREATED
HMS,dependabot,GHSA-f8cc-g7j8-xxpm,CVE-2022-40151,XStream can cause a Denial of Service by injecting deeply nested objects raising a stack overflow,high,2026-06-18,2026-07-18,https://github.com/tanishq-sh17/HMS/security/dependabot/42,Hospital-Management-System,0,0,HMS-21,CREATED
HMS,dependabot,GHSA-j563-grx4-pjpv,CVE-2022-41966,XStream can cause Denial of Service via stack overflow,high,2026-06-18,2026-07-18,https://github.com/tanishq-sh17/HMS/security/dependabot/41,Hospital-Management-System,0,0,HMS-21,CREATED
HMS,dependabot,GHSA-mjmj-j48q-9wg2,CVE-2022-1471,SnakeYaml Constructor Deserialization Remote Code Execution,high,2026-06-18,2026-07-18,https://github.com/tanishq-sh17/HMS/security/dependabot/40,Hospital-Management-System,0,0,HMS-21,CREATED
HMS,dependabot,GHSA-w37g-rhq8-7m4j,CVE-2022-41854,Snakeyaml vulnerable to Stack overflow leading to denial of service,medium,2026-06-18,2026-09-16,https://github.com/tanishq-sh17/HMS/security/dependabot/39,Hospital-Management-System,0,0,HMS-21,CREATED
HMS,dependabot,GHSA-599f-7c49-w659,CVE-2022-42889,Arbitrary code execution in Apache Commons Text,critical,2026-06-18,2026-07-03,https://github.com/tanishq-sh17/HMS/security/dependabot/38,Hospital-Management-System,0,0,HMS-21,CREATED
HMS,dependabot,GHSA-hhhw-99gj-p3c3,CVE-2022-38750,snakeYAML before 1.31 vulnerable to Denial of Service due to Out-of-bounds Write,medium,2026-06-18,2026-09-16,https://github.com/tanishq-sh17/HMS/security/dependabot/37,Hospital-Management-System,0,0,HMS-21,CREATED
HMS,dependabot,GHSA-98wm-3w3q-mw94,CVE-2022-38751,snakeYAML before 1.31 vulnerable to Denial of Service due to Out-of-bounds Write,medium,2026-06-18,2026-09-16,https://github.com/tanishq-sh17/HMS/security/dependabot/36,Hospital-Management-System,0,0,HMS-21,CREATED
HMS,dependabot,GHSA-c4r9-r8fh-9vj2,CVE-2022-38749,snakeYAML before 1.31 vulnerable to Denial of Service due to Out-of-bounds Write,medium,2026-06-18,2026-09-16,https://github.com/tanishq-sh17/HMS/security/dependabot/35,Hospital-Management-System,0,0,HMS-21,CREATED
HMS,dependabot,GHSA-9w3m-gqgf-c4p9,CVE-2022-38752,snakeYAML before 1.32 vulnerable to Denial of Service due to Out-of-bounds Write,medium,2026-06-18,2026-09-16,https://github.com/tanishq-sh17/HMS/security/dependabot/34,Hospital-Management-System,0,0,HMS-21,CREATED
